First,GCD,Steps,Second,GCD,Steps,
E,1,595,S,1,421,
E,2,625,S,2,430,
E,2,609,S,2,412,
E,3,567,S,3,408,
E,2,578,S,2,407,
E,2,597,S,2,418,
E,1,610,S,1,428,
E,1,633,S,1,428,
E,1,611,S,1,417,
E,1,626,S,1,433,
E,1,612,S,1,418,
E,1,607,S,1,419,
E,1,586,S,1,414,
E,2,615,S,2,423,
E,1,589,S,1,410,
E,13,604,S,13,420,
E,20,619,S,20,415,
E,1,606,S,1,415,
E,1,561,S,1,392,
E,2,609,S,2,426,
E,1,597,S,1,408,
E,2,561,S,2,387,
E,1,622,S,1,429,
E,4,605,S,4,416,
E,1,628,S,1,427,
E,1,579,S,1,406,
E,1,635,S,1,433,
E,5,643,S,5,427,
E,1,618,S,1,434,
E,2,632,S,2,447,
E,1,600,S,1,423,
E,1,604,S,1,418,
E,1,595,S,1,409,
E,1,605,S,1,412,
E,1,640,S,1,434,
E,4,586,S,4,407,
E,1,621,S,1,422,
E,1,588,S,1,422,
E,1,567,S,1,388,
E,1,615,S,1,429,
E,1,597,S,1,424,
E,3,605,S,3,407,
E,1,620,S,1,433,
E,1,603,S,1,407,
E,1,579,S,1,406,
E,3,618,S,3,428,
E,3,603,S,3,426,
E,2,632,S,2,429,
E,19,565,S,19,401,
E,2,583,S,2,414,
E,2,601,S,2,402,
E,2,598,S,2,409,
E,1,639,S,1,431,
E,1,563,S,1,395,
E,1,582,S,1,401,
E,2,604,S,2,410,
E,1,595,S,1,412,
E,1,619,S,1,423,
E,1,598,S,1,433,
E,1,616,S,1,424,
E,2,619,S,2,431,
E,1,601,S,1,417,
E,1,607,S,1,416,
E,1,584,S,1,411,
E,1,631,S,1,426,
E,1,593,S,1,419,
E,1,577,S,1,403,
E,2,575,S,2,395,
E,2,601,S,2,418,
E,1,603,S,1,420,
E,70,620,S,70,425,
E,1,589,S,1,417,
E,1,611,S,1,418,
E,2,590,S,2,411,
E,1,616,S,1,425,
E,1,632,S,1,428,
E,1,595,S,1,420,
E,1,591,S,1,403,
E,11,602,S,11,416,
E,2,559,S,2,392,
E,3,599,S,3,417,
E,3,603,S,3,410,
E,3,605,S,3,423,
E,2,595,S,2,417,
E,2,600,S,2,408,
E,1,587,S,1,408,
E,1,600,S,1,412,
E,1,575,S,1,408,
E,1,591,S,1,405,
E,4,607,S,4,414,
E,31,613,S,31,435,
E,1,628,S,1,428,
E,1,585,S,1,404,
E,5,622,S,5,428,
E,2,632,S,2,440,
E,1,606,S,1,427,
E,2,629,S,2,438,
E,1,588,S,1,410,
E,1,590,S,1,416,
E,1,611,S,1,416,
E,1,589,S,1,410,
